GCF_003469635.1_ASM346963v1_genomic	Parabacteroides_merdae-SGB1	3540	refSeq
GCF_008571435.1_ASM857143v1_genomic	Bacteroides_finegoldii-SGB2	4522	refSeq
SAMN04958300	Listeria_monocytogenes-SGB3	2768	refSeq
SAMN04958301	Listeria_monocytogenes-SGB3	2765	refSeq
SAMN04958302	Listeria_monocytogenes-SGB3	2768	refSeq
SAMN04958303	Listeria_monocytogenes-SGB3	2975	refSeq
SAMN04958304	Listeria_monocytogenes-SGB3	2865	refSeq
SAMN04958305	Listeria_monocytogenes-SGB3	2917	refSeq
SAMN04958306	Listeria_monocytogenes-SGB3	2894	refSeq
SAMN04958307	Listeria_monocytogenes-SGB3	2849	refSeq
SAMN04958308	Listeria_monocytogenes-SGB3	2868	refSeq
SAMN04958309	Listeria_monocytogenes-SGB3	2831	refSeq
SAMN06645327	Staphylococcus_lugdunensis-SGB4	2504	refSeq
GCF_003203175.1_ASM320317v1_genomic	Haemophilus_influenzae-SGB5	1734	refSeq
GCF_900201995.1_R372_genomic	Neisseria_meningitidis-SGB6	1973	refSeq
SAMN08895436	Aerococcus_urinae-SGB440-MERGED-SGB8	2046	refSeq
SAMN08895437	Aerococcus_urinae-SGB440-MERGED-SGB8	2051	refSeq
SAMN08895438	Aerococcus_urinae-SGB440-MERGED-SGB8	1852	refSeq
SAMN08895439	Aerococcus_urinae-SGB440-MERGED-SGB8	1901	refSeq
GCF_000615365.1_ASM61536v1_genomic	Lactobacillus_sakei-SGB9	2104	refSeq
SAMN05413859	Enterococcus_faecium-SGB10	2850	refSeq
SAMN05413858	Enterococcus_faecium-SGB10	2847	refSeq
SAMN05413853	Enterococcus_faecium-SGB10	2880	refSeq
GCF_000603145.1_Stap_aure_H47139_V1_genomic	Staphylococcus_aureus-SGB24	2676	refSeq
SAMN05413851	Enterococcus_faecium-SGB10	2893	refSeq
SAMN05413850	Enterococcus_faecium-SGB10	2892	refSeq
NZ_CP026853.1	UPEC-SGB59	4911	refSeq
SAMN05413856	Enterococcus_faecium-SGB10	3002	refSeq
SAMN05413855	Enterococcus_faecium-SGB10	2900	refSeq
SAMN05413854	Enterococcus_faecium-SGB10	2901	refSeq
SAMN04955242	Lactococcus_lactis-SGB12	2760	refSeq
SAMN02850699	Listeria_monocytogenes-SGB3	3021	refSeq
SAMN02850697	Listeria_monocytogenes-SGB3	3020	refSeq
SAMEA1031419	Streptococcus_agalactiae-SGB15	2056	refSeq
SAMEA1031418	Streptococcus_agalactiae-SGB15	2138	refSeq
SAMEA1031417	Streptococcus_agalactiae-SGB15	2108	refSeq
SAMEA1031416	Streptococcus_agalactiae-SGB15	2007	refSeq
SAMEA1031415	Streptococcus_agalactiae-SGB15	2065	refSeq
SAMEA1031414	Streptococcus_agalactiae-SGB15	2110	refSeq
SAMEA1031413	Streptococcus_pyogenes-SGB16	1866	refSeq
SAMEA1031412	Streptococcus_agalactiae-SGB15	2016	refSeq
0421_295_1_2_MRS9_S796_bin_1	Lactobacillus_crispatus-SGB213-MERGED-SGB29-MERGED-SGB85	1644.00942541	South_Africa
GCF_000387565.1_ASM38756v1_genomic	Lactobacillus_delbrueckii-SGB53	1731	refSeq
SAMN02604342	Listeria_monocytogenes-SGB3	3043	refSeq
SAMN03921941	Bacteroides_fragilis-SGB17	4063	refSeq
GCF_002738185.1_ASM273818v1_genomic	Serratia_marcescens-SGB18	5312	refSeq
C0140A4	Lactobacillus_gasseri-SGB19-MERGED-SGB450-MERGED-SGB685	1922	North_America
MG_199199_bin_70	Finegoldia_magna-SGB653-MERGED-SGB75	2199.51506754	North_America
MG_199199_bin_77	Actinotignum_sanguinis-SGB20	1908.79789901	North_America
C0140A3	Lactobacillus_gasseri-SGB19-MERGED-SGB450-MERGED-SGB685	1920	North_America
C0140A1	Lactobacillus_gasseri-SGB19-MERGED-SGB450-MERGED-SGB685	1919	North_America
SAMN04599935	Listeria_monocytogenes-SGB3	2933	refSeq
MG_199199_bin_78	kwon_new-SGB21	1572.12622089	North_America
GCF_004347575.1_ASM434757v1_genomic	Bacteroides_dorei-SGB22	5787	refSeq
GCF_001092105.1_6731_8_2_genomic	Neisseria_meningitidis-SGB6	2019	refSeq
GCF_000401595.1_ASM40159v1_genomic	Staphylococcus_aureus-SGB24	2607	refSeq
SAMEA1690327	Neisseria_meningitidis-SGB6	2079	refSeq
SAMEA1690324	Neisseria_meningitidis-SGB6	2175	refSeq
SAMN03800287	Listeria_monocytogenes-SGB3	2921	refSeq
SAMN03800280	Listeria_monocytogenes-SGB3	3108	refSeq
SAMN03800281	Listeria_monocytogenes-SGB3	2936	refSeq
SAMN03800282	Listeria_monocytogenes-SGB3	2937	refSeq
SAMEA1690321	Neisseria_meningitidis-SGB6	2156	refSeq
SAMN03800288	Listeria_monocytogenes-SGB3	2918	refSeq
SAMN03800289	Listeria_monocytogenes-SGB3	3034	refSeq
SAMEA1690329	Neisseria_meningitidis-SGB6	2166	refSeq
GCF_000027305.1_ASM2730v1_genomic	Haemophilus_influenzae-SGB5	1825	refSeq
GCF_000554185.1_Stap_aure_M0283_V1_genomic	Staphylococcus_aureus-SGB24	2704	refSeq
GCF_900200755.1_B245_genomic	Neisseria_meningitidis-SGB6	1950	refSeq
GCF_000573805.1_Stap_aure_M1283_V1_genomic	Staphylococcus_aureus-SGB24	2701	refSeq
SAMN02299490	Enterococcus_faecium-SGB10	2638	refSeq
SAMN02299491	Enterococcus_faecium-SGB10	2831	refSeq
SAMN02299492	Enterococcus_faecium-SGB10	2844	refSeq
SAMN02299493	Enterococcus_faecium-SGB10	2842	refSeq
SAMN02299494	Enterococcus_faecium-SGB10	2834	refSeq
SAMN02299495	Enterococcus_faecium-SGB10	2819	refSeq
SAMN02299496	Enterococcus_faecium-SGB10	2717	refSeq
SAMN02299497	Enterococcus_faecium-SGB10	2839	refSeq
SAMN02299498	Enterococcus_faecium-SGB10	2908	refSeq
SAMN02299499	Enterococcus_faecium-SGB10	3000	refSeq
GCF_003490825.1_ASM349082v1_genomic	Neisseria_meningitidis-SGB6	2016	refSeq
GCF_000532695.1_Stap_aure_M1134_V1_genomic	Staphylococcus_aureus-SGB24	2767	refSeq
GCF_003494495.1_ASM349449v1_genomic	Haemophilus_influenzae-SGB5	1837	refSeq
CM_G07_S823_bin_1	Lactobacillus_crispatus-SGB213-MERGED-SGB29-MERGED-SGB85	1840.97287184	North_America
MG_112477_bin_2	Lactobacillus_jensenii-SGB156	1524.84063543	North_America
GCF_000602345.1_Stap_aure_H15899_V1_genomic	Staphylococcus_aureus-SGB24	2674	refSeq
GCF_000240665.1_ASM24066v2_genomic	Neisseria_meningitidis-SGB6	1987	refSeq
GCF_000605805.1_Stap_aure_T83543_V1_genomic	Staphylococcus_aureus-SGB24	2717	refSeq
SAMN03325972	Citrobacter_freundii-SGB25	4644	refSeq
GCF_000359965.1_Stap_aure_M0006_V1_genomic	Staphylococcus_aureus-SGB24	2791	refSeq
SAMN09435199	Enterococcus_faecium-SGB10	2476	refSeq
SAMN03140396	Streptococcus_salivarius-SGB106	1972	refSeq
SAMN09435192	Enterococcus_faecium-SGB10	2498	refSeq
SAMN09435191	Enterococcus_faecium-SGB10	2511	refSeq
SAMN09435196	Enterococcus_faecium-SGB10	2470	refSeq
SAMN09435197	Enterococcus_faecium-SGB10	2436	refSeq
SAMN09435194	Enterococcus_faecium-SGB10	2499	refSeq
GCF_009024805.1_ASM902480v1_genomic	Bacteroides_stercoris-SGB27	3842	refSeq
SAMN00000654	Streptococcus_pyogenes-SGB16	1891	refSeq
GCF_000549565.1_Stap_aure_M1349_V1_genomic	Staphylococcus_aureus-SGB24	2779	refSeq
GCF_001055095.1_ASM105509v1_genomic	Haemophilus_parainfluenzae-SGB30	1911	refSeq
GCF_001294565.1_ASM129456v1_genomic	Serratia_marcescens-SGB18	4906	refSeq
GCF_900077655.1_11983_7_5_genomic	Enterobacter_himalayensis-SGB62	4855	refSeq
GCF_004368725.1_ASM436872v1_genomic	Burkholderia_cenocepacia-SGB31	7234	refSeq
GCF_900075315.1_11983_7_57_genomic	Enterobacter_himalayensis-SGB62	4782	refSeq
GCF_000604545.1_Stap_aure_M32669_V1_genomic	Staphylococcus_aureus-SGB24	2710	refSeq
GCF_003496895.1_ASM349689v1_genomic	Haemophilus_influenzae-SGB5	1774	refSeq
SAMN09631739	Streptococcus_mitis-SGB135	2034	refSeq
SAMN09631734	Streptococcus_mitis-SGB33	1906	refSeq
SAMN09631735	Streptococcus_mitis-SGB34	1943	refSeq
SAMN09631737	Streptococcus_mitis-SGB35	1936	refSeq
